1.0.0	ACT I
4.3.14	Yea, or to-night.
4.3.15	Content.
4.3.16	To-night, say I.
4.3.17	Come, come, it may not be. I wonder much, Being men of such great leading as you are, That you foresee not what impediments Drag back our expedition: certain horse Of my cousin Vernon's are not yet come up: Your uncle Worcester's horse came but today; And now their pride and mettle is asleep, Their courage with hard labour tame and dull, That not a horse is half the half of himself.
4.3.18	So are the horses of the enemy In general, journey-bated and brought low: The better part of ours are full of rest.
4.3.19	The number of the king exceedeth ours: For God's sake, cousin, stay till all come in. [The trumpet sounds a parley. Enter SIR WALTER BLUNT.
4.3.20	I come with gracious offers from the king, If you vouchsafe me hearing and respect.
4.3.21	Welcome, Sir Walter Blunt; and would to God You were of our determination Some of us love you well; and even those some Envy your great deservings and good name, Because you are not of our quality, But stand against us like an enemy.
4.3.22	And God defend but still I should stand so, So long as out of limit and true rule You stand against anointed majesty. But to my charge. The king hath sent to know The nature of your griefs, and whereupon You conjure from the breasts of civil peace Such bold hostility, teaching his duteous land Audacious cruelty. If that the king Have any way your good deserts forgot, Which he confesseth to be manifold, He bids you name your griefs; and with all speed You shall have your desires with interest And pardon absolute for yourself and these Herein misled by your suggestion.
4.3.23	The king is kind; and well we know the king Knows at what time to promise, when to pay. My father and my uncle and myself Did give him that same royalty he wears; And when he was not six and twenty strong Sick in the world's regard, wretched and low, A poor unminded outlaw sneaking home, My father gave him welcome to the shore; And when he heard him swear and vow to God He came but to be Duke of Lancaster, To sue his livery and beg his peace, With tears of innocency and terms of zeal, My father, in kind heart and pity moved, Swore him assistance and perform'd it too. Now when the lords and barons of the realm Perceived Northumberland did lean to him, The more and less came in with cap and knee; Met him in boroughs, cities, villages, Attended him on bridges, stood in lanes, Laid gifts before him, proffer'd him their oaths, Gave him their heirs, as pages follow'd him Even at the heels in golden multitudes. He presently, as greatness knows itself, Steps me a little higher than his vow Made to my father, while his blood was poor, Upon the naked shore at Ravenspurgh; And now, forsooth, takes on him to reform Some certain edicts and some strait decrees That lie too heavy on the commonwealth, Cries out upon abuses, seems to weep Over his country's wrongs; and by this face, This seeming brow of justice, did he win The hearts of all that he did angle for; Proceeded further; cut me off the heads Of all the favourites that the absent king In deputation left behind him here, When he was personal in the Irish war.
4.3.24	Tut, I came not to hear this.
4.3.25	Then to the point. In short time after, he deposed the king; Soon after that, deprived him of his life; And in the neck of that, task'd the whole state; To make that worse, suffer'd his kinsman March, Who is, if every owner were well placed, Indeed his king, to be engaged in Wales, There without ransom to lie forfeited; Disgraced me in my happy victories, Sought to entrap me by intelligence; Rated mine uncle from the council-board; In rage dismiss'd my father from the court; Broke oath on oath, committed wrong on wrong, And in conclusion drove us to seek out This head of safety; and withal to pry Into his title, the which we find Too indirect for long continuance.
4.3.26	Shall I return this answer to the king?
4.3.27	Not so, Sir Walter: we'll withdraw awhile. Go to the king; and let there be impawn'd Some surety for a safe return again, And in the morning early shall my uncle Bring him our purposes: and so farewell.
4.3.28	I would you would accept of grace and love.
4.3.29	And may be so we shall.
4.3.30	Pray God you do. [Ex]eunt.
4.4.1	York. The ARCHBISHOP'S palace.
4.4.2	Enter the ARCHBISHOP OF YORK and SIR MICHAEL.
4.4.3	Hie, good Sir Michael; bear this sealed brief With winged haste to the lord marshal; This is my cousin Scroop, and all the rest To whom they are directed. If you knew How much they do import, you would make haste.
4.4.4	My good lord, I guess their tenour.
4.4.5	Like enough you do. To-morrow, good Sir Michael, is a day Wherein the fortune of ten thousand men Must bide the touch; for, sir, at Shrewsbury, As I am truly given to understand, The king with mighty and quick-raised power Meets with Lord Harry: and I fear, Sir Michael. What with the sickness of Northumberland, Whose power was in the first proportion, And what with Owen Glendower's absence thence, Who with them was a rated sinew too And comes not in, o'er-ruled by prophecies, I fear the power of Percy is too weak To wage an instant trial with the king.
4.4.6	Why, my good lord, you need not fear; There is Douglas and Lord Mortimer.
4.4.7	No. Mortimer is not there.
4.4.8	But there is Mordake, Vernon, Lord Harry Percy, And there is my Lord of Worcester and a head Of gallant warriors, noble gentlemen.
4.4.9	And so there is: but yet the king hath drawn The special head of all the land together: The Prince of Wales, Lord John of Lancaster, The noble Westmoreland and warlike Blunt; And many moe corrivals and dear men Of estimation and command in arms.
4.4.10	Doubt not, my lord, they shall be well opposed.
4.4.11	I hope no less, yet needful 'tis to fear; And, to prevent the worst, Sir Michael, speed: For if Lord Percy thrive not, ere the king Dismiss his power, he means to visit us, For he hath heard of our confederacy, And 'tis but wisdom to make strong against him: Therefore make haste. I must go write again To other friends; and so farewell, Sir Michael. [Ex]eunt.
5.0.0	ACT V
5.1.1	The KING'S camp near Shrewsbury.
5.1.2	Enter the KING, PRINCE OF WALES, LORD JOHN OF LANCASTER, EARL OF WESTMORELAND, SIR WALTER BLUNT, and FALSTAFF.
5.1.3	How bloodily the sun begins to peer Above yon busky hill! the day looks pale At his distemperature.
5.1.4	The southern wind Doth play the trumpet to his purposes, And by his hollow whistling in the leaves Foretells a tempest and a blustering day.
5.1.5	Then with the losers let it sympathise, For nothing can seem foul to those that win. [The trumpet sounds. Enter WORCESTER and VERNON. How now, my Lord of Worcester! 'tis not well That you and I should meet upon such terms As now we meet. You have deceived our trust, And made us doff our easy robes of peace, To crush our old limbs in ungentle steel: This is not well, my lord, this is not well. What say you to it? will you again unknit This churlish knot of all-abhorred war? And move in that obedient orb again Where you did give a fair and natural light, And be no more an exhaled meteor, A prodigy of fear and a portent Of broached mischief to the unborn times?
5.1.6	Hear me, my liege: For mine own part, I could be well content To entertain the lag-end of my life With quiet hours; for I do protest, I have not sought the day of this dislike.
5.1.7	You have not sought it! how comes it then?
5.1.8	Rebellion lay in his way, and he found it.
5.1.9	Peace, chewet, peace!
5.1.10	It pleased your majesty to turn your looks Of favour from myself and all our house; And yet I must remember you, my lord, We were the first and dearest of your friends. For you my staff of office did I break In Richard's time; and posted day and night To meet you on the way, and kiss your hand, When yet you were in place and in account Nothing so strong and fortunate as I. It was myself, my brother and his son, That brought you home and boldly did outdare The dangers of the time. You swore to us, And you did swear that oath at Doncaster, That you did nothing purpose 'gainst the state; Nor claim no further than your new-fall'n right, The seat of Gaunt, dukedom of Lancaster: To this we swore our aid. But in short space It rain'd down fortune showering on your head; And such a flood of greatness fell on you, What with our help, what with the absent king, What with the injuries of a wanton time, The seeming sufferances that you had borne, And the contrarious winds that held the king So long in his unlucky Irish wars That all in England did repute him dead: And from this swarm of fair advantages You took occasion to be quickly woo'd To gripe the general sway into your hand; Forgot your oath to us at Doncaster; And being fed by us you used us so As that ungentle gull, the cuckoo's bird, Useth the sparrow; did oppress our nest; Grew by our feeding to so great a bulk That even our love durst not come near your sight For fear of swallowing; but with nimble wing We were enforced, for safety sake, to fly Out of your sight and raise this present head; Whereby we stand opposed by such means As you yourself have forged against yourself By unkind usage, dangerous countenance, And violation of all faith and troth Sworn to us in your younger enterprise.
5.1.11	These things indeed you have articulate, Proclaim'd at market-crosses, read in churches, To face the garment of rebellion With some fine colour that may please the eye Of fickle changelings and poor discontents, Which gape and rub the elbow at the news Of hurlyburly innovation: And never yet did insurrection want Such water-colours to impaint his cause; Nor moody beggars, starving for a time Of pellmell havoc and confusion.
5.1.12	In both your armies there is many a soul Shall pay full dearly for this encounter, If once they join in trial. Tell your nephew, The Prince of Wales doth join with all the world In praise of Henry Percy: by my hopes, This present enterprise set off his head, I do not think a braver gentleman, More active-valiant or more valiant-young, More daring or more bold, is now alive To grace this latter age with noble deeds. For my part, I may speak it to my shame, I have a truant been to chivalry; And so I hear he doth account me too; Yet this before my father's majesty- I am content that he shall take the odds Of his great name and estimation, And will, to save the blood on either side, Try fortune with him in a single fight.
5.1.13	And Prince of Wales, so dare we venture thee, Albeit considerations infinite Do make against it. No, good Worcester, no, We love our people well; even those we love That are misled upon your cousin's part; And, will they take the offer of our grace, Both he and they and you, yea, every man Shall be my friend again and I'll be his: So tell your cousin, and bring me word What he will do: but if he will not yield, Rebuke and dread correction wait on us And they shall do their office. So, be gone; We will not now be troubled with reply: We offer fair; take it advisedly. [Ex]eunt Worcester and Vernon,
5.1.14	It will not be accepted, on my life: The Douglas and the Hotspur both together Are confident against the world in arms.
5.1.15	Hence, therefore, every leader to his charge; For, on their answer, will we set on them: And God befriend us, as our cause is just! [Ex]eunt all but the Prince of Wales and Falstaff.
5.1.16	Hal, if thou see me down in the battle and bestride me, so; 'tis a point of friendship.
5.1.17	Nothing but a colossus can do thee that friendship. Say thy prayers, and farewell.
5.1.18	I would 'twere bed-time, Hal, and all well.
5.1.19	Why, thou owest God a death. [Ex]it.
5.1.20	'Tis not due yet; I would be loath to pay him before his day. What need I be so forward with him that calls not on me? Well, 'tis no matter; honour pricks me on. Yea, but how if honour prick me off when I come on? how then? Can honour set to a leg? no: or an arm? no: or take away the grief of a wound? no. Honour hath no skill in surgery, then? no. What is honour? a word. What is in that word honour? what is that honour? air. A trim reckoning! Who hath it? he that died o' Wednesday. Doth he feel it? no. Doth he hear it? no. 'Tis insensible, then? Yea, to the dead. But will it not live with the living? no. Why? detraction will not suffer it. Therefore I'll none of it. Honour is a mere scutcheon: and so ends my catechism. [Ex]it.
5.2.1	The rebel camp.
5.2.2	Enter WORCESTER and VERNON.
5.2.3	O, no, my nephew must not know, Sir Richard, The liberal and kind offer of the king.
5.2.4	'Twere best he did.
5.2.5	Then are we all undone. It is not possible, it cannot be, The king should keep his word in loving us; He will suspect us still and find a time To punish this offence in other faults: Suspicion all our lives shall be stuck full of eyes; For treason is but trusted like the fox, Who, ne'er so tame, so cherish'd and lock'd up, Will have a wild trick of his ancestors. Look how we can, or sad or merrily, Interpretation will misquote our looks, And we shall feed like oxen at a stall, The better cherish'd, still the nearer death. My nephew's trespass may be well forgot; It hath the excuse of youth and heat of blood, And an adopted name of privilege, A hare-brain'd Hotspur, govern'd by a spleen: All his offences live upon my head And on his father's; we did train him on, And, his corruption being ta'en from us, We, as the spring of all, shall pay for all. Therefore, good cousin, let not Harry know, In any case, the offer of the king.
5.2.6	Deliver what you will; I'll say 'tis so. Here comes your cousin. Enter HOTSPUR and DOUGLAS.
5.2.7	My uncle is return'd: Deliver up my Lord of Westmoreland. Uncle, what news?
5.2.8	The king will bid you battle presently.
5.2.9	Defy him by the Lord of Westmoreland.
5.2.10	Lord Douglas, go you and tell him so.
5.2.11	Marry, and shall, and very willingly. [Exit.
5.2.12	There is no seeming mercy in the king.
5.2.13	Did you beg any? God forbid!
5.2.14	I told him gently of our grievances, Of his oath-breaking; which he mended thus, By now forswearing that he is forsworn: He calls us rebels, traitors; and will scourge With haughty arms this hateful name in us. Re-enter DOUGLAS.
5.2.15	Arm, gentlemen: to arms! for I have thrown A brave defiance in King Henry's teeth, And Westmoreland, that was engaged, did bear it; Which cannot choose but bring him quickly on.
5.2.16	The Prince of Wales stepp'd forth before the king, And, nephew, challenged you to single fight.
5.2.17	O, would the quarrel lay upon our heads, And that no man might draw short breath to-day But I and Harry Monmouth! Tell me, tell me, How show'd his tasking? seem'd it in contempt?
5.2.18	No, by my soul; I never in my life Did hear a challenge urged more modestly, Unless a brother should a brother dare To gentle exercise and proof of arms. He gave you all the duties of a man; Trimm'd up your praises with a princely tongue, Spoke your deservings like a chronicle, Making you ever better than his praise By still dispraising praise valued with you; And, which became him like a prince indeed, He made a blushing cital of himself; And chid his truant youth with such a grace As if he master'd there a double spirit Of teaching and of learning instantly. There did he pause: but let me tell the world, If he outlive the envy of this day, England did never owe so sweet a hope, So much misconstrued in his wantonness.
5.2.19	Cousin, I think thou art enamoured On his follies: never did I hear Of any prince, so wild a libertine. But be he as he will, yet once ere night I will embrace him with a soldier's arm, That he shall shrink under my courtesy. Arm, arm with speed: and, fellows, soldiers, friends, Better consider what you have to do Than I, that have not well the gift of tongue, Can lift your blood up with persuasion. Enter a Messenger.
5.2.20	My lord, here are letters for you.
5.2.21	I cannot read them now. O gentlemen, the time of life is short! To spend that shortness basely were too long, If life did ride upon a dial's point, Still ending at the arrival of an hour. And if we live, we live to tread on kings; If die, brave death, when princes die with us! Now, for our consciences, the arms are fair, When the intent of bearing them is just. Enter another Messenger.
5.2.22	My lord, prepare; the king comes on apace.
5.2.23	I thank him, that he cuts me from my tale, For I profess not talking; only this— Let each man do his best: and here draw I A sword, whose temper I intend to stain With the best blood that I can meet withal In the adventure of this perilous day. Now, Esperance! Percy! and set on. Sound all the lofty instruments of war, And by that music let us all embrace; For, heaven to earth, some of us never shall A second time do such a courtesy. [The trumpets sound. They embrace, and exeunt.
5.3.1	Plain between the camps.
5.3.2	The KING enters with his power. Alarum to the battle. Then enter DOUGLAS and SIR WALTER BLUNT.
5.3.3	What is thy name, that in the battle thus Thou crossest me? what honour dost thou seek Upon my head?
5.3.4	Know then, my name is Douglas; And I do haunt thee in the battle thus Because some tell me that thou art a king.
5.3.5	They tell thee true.
5.3.6	The Lord of Stafford dear to-day hath bought Thy likeness, for instead of thee, King Harry, This sword hath ended him: so shall it thee, Unless thou yield thee as my prisoner.
5.3.7	I was not born a yielder, thou proud Scot; And thou shalt find a king that will revenge Lord Stafford's death. [They fight. Douglas kills Blunt. Enter HOTSPUR.
5.3.8	O Douglas, hadst thou fought at Holmedon thus, I never had triumph'd upon a Scot.
5.3.9	All's done, all's won; here breathless lies the king.
5.3.10	Where?
5.3.11	Here.
5.3.12	This, Douglas? no: I know this face full well: A gallant knight he was, his name was Blunt; Semblaby furnish'd like the king himself.
5.3.13	A fool go with thy soul, whither it goes! A borrow'd title hast thou bought too dear: Why didst thou tell me that thou wert a king ?
5.3.14	The king hath many marching in his coats.
5.3.15	Now, by my sword, I will kill all his coats; I'll murder all his wardrobe, piece by piece, Until I meet the king.
5.3.16	Up, and away! Our soldiers stand full fairly for the day. [Ex]eunt. Alarum. Enter FALSTAFF, solus.
5.3.17	Though I could 'scape shot-free at London, I fear the shot here; here's no scoring but upon the pate. Soft! who are you? Sir Walter Blunt: there's an honour for you! here's no vanity! I am as hot as molten lead, and as heavy too: God keep lead out of me! I need no more weight than mine own bowels. I have led my ragamuffins where they are peppered; there's not three of my hundred and fifty left alive; and they are for the town's end, to beg during life. But who comes here? Enter the PRINCE.
5.3.18	What, stand'st thou idle here? lend me thy sword: Many a nobleman lies stark and stiff Under the hoofs of vaunting enemies, Whose deaths are yet unrevenged: I prithee, lend me thy sword.
5.3.19	O, Hal, I prithee, give me leave to breathe awhile. Turk Gregory never did such deeds in arms as I have done this day. I have paid Percy, I have made him sure.
5.3.20	He is, indeed; and living to kill thee. I prithee, lend me thy sword.
5.3.21	Nay, before God, Hal, if Percy be alive, thou get'st not my sword; but take my pistol, if thou wilt.
5.3.22	Give it me: what, is it in the case?
5.3.23	Ay, Hal; 'tis hot, 'tis hot; there's that will sack a city. [The Prince draws it out, and finds it to be a bottle of sack.
5.3.24	What, is it a time to jest and dally now? [He throws the bottle at him. Exit.
5.3.25	Well, if Percy be alive, I'll pierce him. If he do come in my way, so: if he do not, if I come in his willingly, let him make a carbonado of me. I like not such grinning honour as Sir Walter hath: give me life: which if I can save, so; if not, honour comes unlooked for, and there's an end. [Ex]it.
5.4.1	Another part of the field.
5.4.2	Alarum. Excursions.
5.4.3	Enter the KING, the PRINCE, LORD JOHN OF LANCASTER, and EARL OF WESTMORELAND.
5.4.4	I prithee, Harry, withdraw thyself; thou bleed'st too much. Lord John of Lancaster, go you with him.
5.4.5	Not I, my lord, unless I did bleed too.
5.4.6	I beseech your majesty, make up, Lest your retirement do amaze your friends.
5.4.7	I will do so. My Lord of Westmoreland, lead him to his tent.
5.4.8	Come, my lord, I'll lead you to your tent.
5.4.9	Lead me, my lord? I do not need your help: And God forbid a shallow scratch should drive The Prince of Wales from such a field as this, Where stain'd nobility lies trodden on, And rebels' arms triumph in massacres!
5.4.10	We breathe too long: come, cousin Westmoreland, Our duty this way lies; for God's sake, come. [Ex]eunt Prince John and Westmoreland.
5.4.11	By God, thou hast deceived me, Lancaster; I did not think thee lord of such a spirit: Before, I loved thee as a brother, John; But now, I do respect thee as my soul.
5.4.12	I saw him hold Lord Percy at the point With lustier maintenance than I did look for Of such an ungrown warrior.
5.4.13	O, this boy Lends mettle to us all! [Ex]it. Enter DOUGLAS.
5.4.14	Another king! they grow like Hydra's heads: I am the Douglas, fatal to all those That wear those colours on them: what art thou, That counterfeit'st the person of a king?
5.4.15	The king himself; who, Douglas, grieves at heart So many of his shadows thou hast met And not the very king. I have two boys Seek Percy and thyself about the field: But, seeing thou fall'st on me so luckily, I will assay thee: so, defend thyself.
5.4.16	I fear thou art another counterfeit; And yet, in faith, thou bear'st thee like a king: But mind I am sure thou art, whoe'er thou be, And thus I win thee. [They fight; the King being in danger, re-enter Prince of Wales.
5.4.17	Hold up thy head, vile Scot, or thou art like Never to hold it up again! the spirits Of valiant Shirley, Stafford, Blunt, are in my arms: It is the Prince of Wales that threatens thee; Who never promiseth but he means to pay. [They fight: Douglas flies. Cheerly, my lord: how fares your grace? Sir Nicholas Gawsey hath for succour sent, And so hath Clifton: I'll to Clifton straight.
5.4.18	Stay, and breathe awhile: Thou hast redeem'd thy lost opinion, And show'd thou makest some tender of my life, In this fair rescue thou hast brought to me.
5.4.19	O God! they did me too much injury That ever said I hearken'd for your death. If it were so, I might have let alone The insulting hand of Douglas over you, Which would have been as speedy in your end As all the poisonous potions in the world And saved the treacherous labour of your son.
5.4.20	Make up to Clifton: I'll to Sir Nicholas Gawsey. [Ex]it. Enter HOTSPUR.
5.4.21	If I mistake not, thou art Harry Monmouth.
5.4.22	Thou speak'st as if I would deny my name.
5.4.23	My name is Harry Percy.
5.4.24	Why, then I see A very valiant rebel of the name. I am the Prince of Wales; and think not, Percy, To share with me in glory any more: Two stars keep not their motion in one sphere; Nor can one England brook a double reign, Of Harry Percy and the Prince of Wales.
5.4.25	Nor shall it, Harry; for the hour is come To end the one of us; and would to God Thy name in arms were now as great as mine !
5.4.26	I'll make it greater ere I part from thee; And all the budding honours on thy crest I'll crop, to make a garland for my head.
5.4.27	I can no longer brook thy vanities. [They fight. Enter FALSTAFF.
5.4.28	Well said, Hal! to it, Hal! Nay, you shall find no boy's play here, I can tell you. Re-enter DOUGLAS; he fights with FALSTAFF, who falls down as if he were dead, and exit DOUGLAS. HOTSPUR is wounded, and falls.
5.4.29	O, Harry, thou hast robb'd me of my youth! I better brook the loss of brittle life Than those proud titles thou hast won of me; They wound my thoughts worse than thy sword my flesh: But thought's the slave of life, and life time's fool; And time, that takes survey of all the world, Must have a stop. O, I could prophesy, But that the earthy and cold hand of death Lies on my tongue: no, Percy, thou art dust, And food for- [Dies.
5.4.30	For worms, brave Percy: fare thee well, great heart! Ill-weaved ambition, how much thou art shrunk! When that this body did contain a spirit, A kingdom for it was too small a bound; But now two paces of the vilest earth Is room enough: this earth that bears thee dead Bears not alive so stout a gentleman. If thou wert senesible of courtesy, I should not make so dear a show of zeal: But let my favours hide thy mangled face; And, even in thy behalf, I'll thank myself For doing these fair rites of tenderness. Adieu, and take thy praise with thee to heaven! Thy ignominy sleep with thee in the grave, But not remember'd in thy epitaph! [He spieth Falstaff on the ground. What, old acquaintance! could not all this flesh Keep in a little life? Poor Jack, farewell! I could have better spared a better man: O, I should have a heavy miss of thee, If I were much in love with vanity Death hath not struck so fat a deer to-day, Though many dearer, in this bloody fray. Embowell'd will I see thee by and by: Till then in blood by noble Percy lie. [Ex]it.
5.4.31	[Rising up]
5.4.32	Embowelled! if thou embowel me to-day, I'll give you leave to powder me and eat me too to-morrow. 'Sblood, 'twas time to counterfeit, or that hot termagant Scot had paid me scot and lot too. Counterfeit? I lie, I am no counterfeit: to die, is to be a counterfeit; for he is but the counterfeit of a man who hath not the life of a man: but to counterfeit dying, when a man thereby liveth, is to be no counterfeit, but the true and perfect image of life indeed. The better part of valour is discretion; in the which better part I have saved my life. 'Zounds, I am afraid of this gunpowder Percy, though he be dead: how, if he should counterfeit too and rise? by my faith, I am afraid he would prove the better counterfeit. Therefore I'll make him sure; yea, and I'll swear I killed him. Why may not he rise as well as I? Nothing confutes me but eyes, and nobody sees me. Therefore, sirrah [stabbing him], with a new wound in your thigh, come you along with me. [Takes up Hotspur on his back. Re-enter the PRINCE OF WALES and LORD JOHN OF LANCASTER.
5.4.33	Come, brother John; full bravely hast thou flesh'd Thy maiden sword.
5.4.34	But, soft! whom have we here? Did you not tell me this fat man was dead?
5.4.35	I did; I saw him dead, Breathless and bleeding on the ground. Art thou alive? Or is it fantasy that plays upon our eyesight? I prithee speak; we will not trust our eyes Without our ears: thou art not what thou seem'st.
5.4.36	No, that's certain; I am not a double man: but if I be not Jack Falstaff, then am I a Jack. There is Percy [throwing the body down]: if your father do me any honour, so; if not, let him kill the next Percy himself. I look to be either earl or duke, I can assure you.
5.4.37	Why, Percy I killed myself and saw thee dead.
5.4.38	Didst thou? Lord, Lord, how this world is given to lying! I grant you I was down and out of breath; and so was he: but we rose both at an instant and fought a long hour by Shrewsbury clock. If I may be believed, so; if not, let them that should reward valour bear the sin upon their own heads. I'll take it upon my death, I gave him this wound in the thigh: if the man were alive and would deny it, 'zounds, I would make him eat a piece of my sword.
5.4.39	This is the strangest tale that ever I heard.
5.4.40	This is the strangest fellow, brother John. Come bring your luggage nobly on your back: For my part, if a lie may do thee grace, I'll gild it with the happiest terms I have. [A retreat is sounded. The trumpet sounds retreat; the day is ours. Come, brother, let us to the highest of the field, To see what friends are living, who are dead. [Ex]eunt Prince of Wales and Lancaster.
5.4.41	I'll follow, as they say, for reward. He that rewards me, God reward him! If I do grow great, I'll grow less; for I'll purge, and leave sack, and live cleanly as a nobleman should do. [Ex]it.
5.5.1	Another part of the field.
5.5.2	The trumpets sound.
5.5.3	Enter the KING, PRINCE OF WALES, LORD JOHN OF LANCASTER, EARL OF WESTMORELAND, with WORCESTER and VERNON prisoners.
5.5.4	Thus ever did rebellion find rebuke. Ill-spirited Worcester! did not we send grace, Pardon and terms of love to all of you? And wouldst thou turn our offers contrary? Misuse the tenour of thy kinsman's trust? Three knights upon our party slain to-day, A noble earl and many a creature else Had been alive this hour, If like a Christian thou hadst truly borne Betwixt our armies true intelligence.
5.5.5	What I have done my safety urged me to; And I embrace this fortune patiently, Since not to be avoided it falls on me.
5.5.6	Bear Worcester to the death and Vernon too: Other offenders we will pause upon. [Exeunt Worcester and Vernon, guarded. How goes the field?
5.5.7	The noble Scot, Lord Douglas, when he saw The fortune of the day quite turn'd from him, The noble Percy slain, and all his men Upon the foot of fear, fled with the rest; And falling from a hill, he was so bruised That the pursuers took him. At my tent The Douglas is; and I beseech your grace I may dispose of him.
5.5.8	With all my heart.
5.5.9	Then, brother John of Lancaster, to you This honourable bounty shall belong: Go to the Douglas, and deliver him Up to his pleasure, ransomless and free: His valour shown upon our crests to-day Hath taught us how to cherish such high deeds Even in the bosom of our adversaries.
5.5.10	I thank your grace for this high courtesy, Which I shall give away immediately.
5.5.11	Then this remains, that we our power. You, son John, and my cousin Westmoreland Towards York shall bend you with your dearest speed, To meet Northumberland and the prelate Scroop, Who, as we hear, are busily in arms: Myself and you, son Harry, will towards Wales, To fight with Glendower and the Earl of March. Rebellion in this land shall lose his sway, Meeting the check of such another day: And since this business so fair is done, Let us not leave till all our own be won. [Ex]eunt
